,subj_id,ch_name,device,include_elec,include_inf,fif_idx,elecfile_idx,anat,short_anat,x,y,z,x_warp,y_warp,z_warp,x_inf,y_inf,z_inf,x_inf_warp,y_inf_warp,z_inf_warp,r,g,b,a,value_norm,value_native,spkr_p,mic_p
0,DC8,LHippo1,LHippo,False,False,0,0,Left-Hippocampus,hippo,-24.78282476890962,1.4768949757077223,-30.68163004358297,-23.181999999999988,9.87299999999999,-50.53800000000001,,,,,,,0.584,0.286,0.592,1.0,0.16951874226993102,-0.6445608239612027,0.57,0.136
1,DC8,LHippo2,LHippo,False,False,1,1,Left-Hippocampus,hippo,-25.236557002285963,-2.689191894384706,-26.150031386430044,-24.700999999999993,6.712999999999994,-43.40199999999999,,,,,,,0.6816823529411764,0.8167882352941177,0.7256941176470588,1.0,0.6355524293480401,0.1897374069896796,0.487,0.488
2,DC8,LHippo3,LHippo,False,False,2,2,Left-Hippocampus,hippo,-25.236557002285963,-7.152267135414419,-23.88423205785358,-24.331999999999994,1.6920000000000073,-40.583,,,,,,,0.9559529411764707,0.9243999999999999,0.9568000000000001,1.0,0.42316644822447497,-0.19047812944740986,0.441,0.356
3,DC8,LHippo4,LHippo,False,False,3,3,Left-Hippocampus,hippo,-25.987277606599605,-11.013115957599084,-21.2207273072504,-23.925999999999988,-2.5999999999999943,-37.351,,,,,,,0.9755294117647059,0.958,0.976,1.0,0.43601114733913715,-0.16748341888121215,0.445,0.334
4,DC8,LHippo5,LHippo,False,False,4,4,Left-Hippocampus,hippo,-26.144021469038705,-15.476191198628797,-18.677655760231062,-23.268,-6.292000000000002,-33.399,,,,,,,0.7471372549019608,0.566,0.752,1.0,0.29760727769012013,-0.41525542937447546,0.417,0.24
5,DC8,LHippo6,LHippo,False,False,5,5,Left-Hippocampus,hippo,-26.144021469038705,-19.93926643965851,-16.4118564316546,-23.997000000000014,-9.64,-31.001000000000005,,,,,,,0.8384941176470587,0.7227999999999999,0.8415999999999999,1.0,0.3545341844571922,-0.3133443037924446,0.475,0.267
6,DC8,LHippo7,LHippo,False,False,6,6,Left-Hippocampus,hippo,-26.144021469038705,-23.808364938813654,-14.146057103078135,-23.524,-14.269000000000005,-28.083,,,,,,,0.8580705882352941,0.7564,0.8608,1.0,0.3640965814774821,-0.2962256037094166,0.525,0.297
7,DC8,LHippo8,LHippo,False,False,7,7,Left-Hippocampus,hippo,-26.144021469038705,-27.966202131935603,-11.759824570917829,-24.566000000000003,-18.352000000000004,-24.442000000000007,,,,,,,0.8189176470588235,0.6892,0.8224,1.0,0.3421398875174091,-0.335532699819292,0.551,0.291
8,DC8,LHippo9,LHippo,False,False,8,8,Left-Cerebral-White-Matter,wm,-26.144021469038705,-32.429277372965316,-9.891730664368083,-25.74000000000001,-23.917,-23.502999999999986,,,,,,,0.584,0.286,0.592,1.0,0.14342024739217293,-0.6912826140607773,0.495,0.076
9,DC8,LHippo10,LHippo,False,False,9,9,Left-Cerebral-White-Matter,wm,-26.144021469038705,-36.88410293702455,-7.5054981322077765,-25.07499999999999,-29.777299999999997,-18.034999999999997,,,,,,,0.584,0.286,0.592,1.0,0.15802794917194293,-0.6651317582513397,0.569,0.112
10,DC8,RHippo1,RHippo,True,True,10,10,ctx_rh_Pole_temporal,temp_pole,15.38299420454399,20.13170661411621,-31.784113507664216,27.727000000000004,34.18299999999999,-52.548,0.03369259089231491,29.445301055908203,-69.07520294189453,5.67871618270874,39.23439407348633,-77.19062042236328,0.6818823529411764,0.45399999999999985,0.688,1.0,0.25872416682966887,-0.48486436860831333,0.322,0.024
11,DC8,RHippo2,RHippo,True,True,11,11,ctx_rh_G_temp_sup-Plan_polar,PP,16.226218091125276,15.757128959555871,-29.319471407636883,28.6404,26.098000000000013,-47.916,-0.6575465202331543,28.913890838623047,-67.15302276611328,3.103782892227173,33.77056121826172,-71.57200622558594,0.6884078431372549,0.46519999999999995,0.6944,1.0,0.2623250288251556,-0.47841806896081734,0.32,0.011
12,DC8,RHippo3,RHippo,True,False,12,12,Right-Amygdala,amyg,17.915369440309064,11.367198771689402,-27.235055943955246,28.968900000000005,22.782999999999987,-47.77000000000001,-3.4892568588256836,25.07127571105957,-63.341949462890625,,,,0.6557803921568627,0.40919999999999995,0.6624,1.0,0.24324975204109875,-0.5125668228322725,0.354,0.017
13,DC8,RHippo4,RHippo,False,True,13,13,Right-Amygdala,amyg,18.89090887025,6.8476566164845565,-24.862054984904432,29.169600000000003,16.043000000000006,-46.09200000000001,-12.492772102355957,20.425926208496094,-53.49651336669922,-1.6037919521331787,19.751880645751953,-64.68329620361328,0.6623058823529412,0.4204,0.6688,1.0,0.24752059746334423,-0.5049211120623408,0.35,0.086
14,DC8,RHippo5,RHippo,False,True,14,14,Right-Hippocampus,hippo,20.104318939938537,2.457726428618116,-22.3974128848771,29.134200000000007,9.701999999999998,-42.355999999999995,-6.720850944519043,11.417969703674316,-60.33906555175781,-2.119802474975586,16.070104598999023,-63.41194152832031,0.7340862745098038,0.5435999999999999,0.7391999999999999,1.0,0.29278414300873595,-0.42388985397486323,0.339,0.083
15,DC8,RHippo6,RHippo,False,True,15,15,Right-Hippocampus,hippo,21.079858369879474,-2.407945038743577,-19.932770784849765,30.619500000000002,5.318000000000012,-36.974999999999994,-7.211880683898926,4.515736103057861,-57.5987663269043,-2.709656238555908,9.595563888549805,-60.65207290649414,1.0,1.0,1.0,1.0,0.5003220488810572,-0.05235339099915574,0.247,0.192
16,DC8,RHippo7,RHippo,False,True,16,16,Right-Hippocampus,hippo,22.29326843956801,-6.084263307367166,-18.22858195751388,31.017799999999994,0.4170000000000016,-33.91999999999999,-7.298876762390137,-0.6523215174674988,-55.73202896118164,-7.6597771644592285,4.184165954589844,-49.669097900390625,0.4914235294117647,0.7072823529411765,0.5617411764705882,1.0,0.6838338550504365,0.2761713047275151,0.369,0.537
17,DC8,RHippo8,RHippo,False,True,17,17,Right-Hippocampus,hippo,23.506678509256545,-10.47419349523362,-15.763939857486548,32.074799999999996,-1.8889999999999958,-30.97399999999999,-16.173782348632812,-5.586493015289307,-46.917137145996094,-9.020943641662598,-0.17324134707450867,-47.509765625,0.5060588235294117,0.7157058823529412,0.5743529411764705,1.0,0.6800954946320829,0.26947885400953414,0.464,0.717
18,DC8,RHippo10,RHippo,False,True,18,19,Right-Hippocampus,hippo,25.45775736913842,-19.729795150461783,-11.975335566469028,30.3553,-9.793000000000006,-26.331999999999994,-10.108146667480469,-19.316082000732422,-45.59967803955078,-11.554618835449219,-12.01062297821045,-40.836830139160156,0.6670470588235293,0.808364705882353,0.7130823529411765,1.0,0.6401755738305603,0.19801380710869168,0.301,0.387
19,DC8,RAntTm1,RAntTm,True,True,19,20,ctx_rh_Pole_temporal,temp_pole,21.221496019560817,11.206816667956787,-34.894236960628604,30.855800000000002,16.992999999999995,-54.952,3.734133243560791,23.214733123779297,-74.60530090332031,4.2295451164245605,27.64398765563965,-81.57071685791016,0.584,0.286,0.592,1.0,0.16113385236681,-0.6595715388662806,0.4,0.004
20,DC8,RAntTm2,RAntTm,True,True,20,21,ctx_rh_Pole_temporal,temp_pole,25.28935376622087,10.86068735579994,-33.57027476963842,33.736999999999995,17.811000000000007,-52.119,8.168315887451172,32.12898635864258,-74.76448822021484,12.443845748901367,37.647220611572266,-82.33873748779297,0.584,0.286,0.592,1.0,0.174336725080715,-0.6359356222917897,0.459,0.008
21,DC8,RAntTm3,RAntTm,True,False,21,22,Right-Cerebral-White-Matter,wm,27.727270883338406,10.366075151635926,-31.804902489173372,35.78530000000001,17.608000000000004,-50.85499999999999,,,,,,,0.584,0.286,0.592,1.0,0.17916223158428157,-0.627296951631287,0.467,0.005
22,DC8,RAntTm4,RAntTm,True,True,22,23,ctx_rh_Pole_temporal,temp_pole,30.76957360552899,9.670001079114257,-31.00561625411737,39.568,15.421999999999997,-49.28200000000001,18.953590393066406,28.300039291381836,-75.48780822753906,20.98444938659668,28.26559829711914,-80.15653228759766,0.6884078431372549,0.46519999999999995,0.6944,1.0,0.26266349496339503,-0.47781214344899364,0.414,0.045
23,DC8,RAntTm5,RAntTm,False,True,23,24,ctx_rh_S_temporal_inf,ITS,33.61041445936189,9.376850743307955,-29.56227265545536,42.19970000000001,14.116000000000014,-46.84299999999999,20.695903778076172,27.537460327148438,-74.75321960449219,27.79262924194336,22.769630432128906,-75.971435546875,0.7275607843137255,0.5324,0.7328,1.0,0.2877077601068744,-0.432977646106814,0.406,0.179
24,DC8,RAntTm6,RAntTm,False,True,24,25,ctx_rh_S_temporal_inf,ITS,37.05564091826784,8.680776670786287,-28.762986420399358,45.359300000000005,12.697000000000003,-46.25,24.557174682617188,23.507801055908203,-73.68887329101562,28.960630416870117,21.046297073364258,-75.0497055053711,0.9102745098039215,0.8459999999999999,0.9119999999999999,1.0,0.3965657597582163,-0.23809895160002711,0.298,0.152
25,DC8,RAntTm7,RAntTm,False,True,25,26,ctx_rh_G_temporal_middle,MTG,39.292096167027694,8.680776670786287,-28.041314621068352,46.96939999999999,12.794999999999987,-45.95099999999999,24.871986389160156,25.935007095336914,-72.2583999633789,32.69400405883789,20.685871124267578,-71.33743286132812,0.9690039215686275,0.9468000000000001,0.9696,1.0,0.43222146529840816,-0.1742677460878345,0.361,0.198
26,DC8,RAntTm8,RAntTm,False,True,26,27,ctx_rh_G_temporal_middle,MTG,41.73001328414523,8.186164466622301,-26.919999704209374,48.9302,12.354000000000013,-45.135999999999996,27.957244873046875,22.5026798248291,-70.89241790771484,32.69400405883789,20.685871124267578,-71.33743286132812,0.962478431372549,0.9356,0.9632000000000001,1.0,0.42718710840116836,-0.1832803028402793,0.425,0.325
27,DC8,RAntTm9,RAntTm,False,True,27,28,ctx_rh_G_temporal_middle,MTG,45.285013143960214,8.127513942159055,-25.876299223075335,54.587199999999996,10.872000000000014,-41.88900000000001,30.797000885009766,19.65888214111328,-69.0514907836914,35.11393737792969,15.80240535736084,-69.25289916992188,0.8841725490196078,0.8011999999999999,0.8864,1.0,0.3792902185644221,-0.26902580057325587,0.437,0.214
28,DC8,RAntTm10,RAntTm,False,True,28,29,ctx_rh_G_temporal_middle,MTG,48.125853997793115,8.127513942159055,-24.51057006013832,57.4028,11.046999999999997,-39.78899999999999,32.668277740478516,17.31128692626953,-67.87381744384766,38.679100036621094,16.606447219848633,-56.371910095214844,0.8450196078431372,0.734,0.848,1.0,0.3562554042845373,-0.31026295860893455,0.337,0.158
29,DC8,RMdTm51,RMdTm,False,True,29,30,Right-Hippocampus,hippo,29.20157042043536,-20.471582880576563,-12.33478055713391,34.168800000000005,-10.703999999999994,-17.110000000000014,-11.27766227722168,-16.09844398498535,-45.75825500488281,18.202880859375,1.5323389768600464,-12.79320240020752,0.9890235294117647,0.9936823529411765,0.9905411764705883,1.0,0.5536413672242959,0.043099393215164976,0.363,0.331
